threads,avg_ms,ins_mean_all,ins_mean_ovt,ins_max,ins_count_avg,ins_pct_avg,deq_mean_all,deq_mean_ovt,deq_max,deq_count_avg,deq_pct_avg,e2e_mean_all,e2e_mean_ovt,e2e_max,e2e_count_avg,e2e_pct_avg
1,31.900,0.000,0.000,0,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0,0.000,0.000
2,54.100,0.000,1.285,29,43.700,0.022,0.000,1.279,2,0.800,0.000,0.000,1.279,29,44.500,0.022
3,71.300,0.052,1.040,65,14905.900,4.959,0.000,1.040,6,2.700,0.001,0.052,1.040,65,14908.000,4.959
4,102.300,0.473,2.000,63,94843.600,23.664,0.000,2.000,16,3.300,0.001,0.473,2.000,63,94845.100,23.664
5,130.000,0.707,2.563,149,138251.600,27.595,0.000,2.563,23,5.600,0.001,0.707,2.563,149,138255.200,27.596
6,153.400,0.750,2.567,93,175538.300,29.198,0.000,2.567,4,4.400,0.001,0.750,2.567,93,175540.000,29.198
7,177.900,0.699,2.526,112,194030.300,27.663,0.000,2.526,15,5.800,0.001,0.699,2.526,112,194033.800,27.664
8,222.800,0.751,2.603,155,231172.800,28.839,0.000,2.603,37,8.100,0.001,0.751,2.603,155,231176.300,28.839
9,255.100,0.552,2.403,145,206938.300,22.947,0.000,2.403,13,9.200,0.001,0.552,2.403,145,206943.400,22.948
10,291.700,0.501,2.242,147,223762.000,22.332,0.000,2.242,5,9.900,0.001,0.501,2.242,147,223767.600,22.332
11,332.300,0.466,2.200,161,233371.300,21.173,0.000,2.200,8,14.600,0.001,0.466,2.200,161,233380.900,21.174
12,373.100,0.451,2.165,527,250550.100,20.838,0.000,2.165,10,15.100,0.001,0.451,2.165,527,250558.500,20.838
13,412.200,0.448,2.141,372,272715.100,20.936,0.000,2.141,67,15.500,0.001,0.448,2.141,372,272722.200,20.937
14,449.400,0.451,2.136,391,296376.200,21.127,0.000,2.136,8,16.300,0.001,0.451,2.136,391,296384.500,21.128
15,485.400,0.461,2.146,234,323107.600,21.498,0.000,2.146,6,14.400,0.001,0.461,2.146,234,323116.000,21.498
16,563.600,0.452,2.122,595,341386.400,21.294,0.000,2.122,36,14.200,0.001,0.452,2.122,595,341393.800,21.295
